x,y,x2,y2,color
108,250,107,450,inversed
108,250,109,0,inversed
4,250,1,450,inversed
97,250,118,450,inversed
97,250,120,0,inversed
95,250,125,450,same orientation
4,250,3,0,same orientation
68,250,84,0,inversed
114,250,103,0,inversed
123,250,94,0,inversed
89,250,119,450,same orientation
76,250,104,450,same orientation
21,250,10,450,inversed
21,250,11,0,inversed
21,250,10,0,inversed
16,250,15,450,inversed
16,250,15,0,inversed
41,250,53,450,same orientation
41,250,54,0,same orientation
43,250,72,450,inversed
125,250,89,450,same orientation
14,250,18,0,same orientation
23,250,36,450,same orientation
23,250,36,0,same orientation
112,250,76,450,same orientation
74,250,78,0,inversed
32,250,44,450,same orientation
32,250,45,0,same orientation
52,250,65,0,inversed
134,250,133,0,same orientation
9,250,8,0,same orientation
9,250,8,450,same orientation
50,250,63,0,same orientation
67,250,30,450,same orientation
67,250,31,0,same orientation
132,250,132,0,inversed
105,250,110,450,inversed
105,250,112,0,inversed
128,250,92,450,same orientation
79,250,73,0,inversed
84,250,60,450,same orientation
86,250,66,0,inversed
119,250,98,0,inversed
100,250,115,450,inversed
100,250,117,0,inversed
131,250,95,450,same orientation
37,250,49,450,same orientation
37,250,50,0,same orientation
62,250,26,450,same orientation
62,250,26,0,same orientation
55,250,33,0,same orientation
81,250,57,450,same orientation
83,250,69,0,inversed
49,250,62,0,same orientation
1,250,0,0,same orientation
58,250,22,450,same orientation
58,250,22,0,same orientation
92,250,125,0,inversed
1,250,4,450,inversed
90,250,120,450,same orientation
13,250,18,450,inversed
13,250,18,0,inversed
44,250,57,0,same orientation
44,250,133,0,same orientation
73,250,101,450,same orientation
117,250,81,450,same orientation
26,250,39,450,same orientation
26,250,39,0,same orientation
71,250,81,0,inversed
46,250,69,450,inversed
46,250,59,0,inversed
120,250,84,450,same orientation
126,250,91,0,inversed
111,250,106,0,inversed
89,250,128,0,inversed
89,250,125,450,inversed
121,250,96,0,inversed
116,250,101,0,inversed
43,250,56,0,same orientation
14,250,17,450,inversed
74,250,102,450,same orientation
76,250,76,0,inversed
110,250,74,450,same orientation
127,250,91,450,same orientation
0,250,0,450,same orientation
0,250,0,0,same orientation
68,250,96,450,same orientation
6,250,5,0,same orientation
6,250,5,450,same orientation
19,250,12,450,inversed
19,250,12,0,inversed
79,250,55,450,same orientation
86,250,62,450,same orientation
84,250,68,0,inversed
84,250,63,0,inversed
50,250,65,450,inversed
30,250,43,450,same orientation
30,250,43,0,same orientation
65,250,28,450,same orientation
65,250,29,0,same orientation
52,250,63,450,same orientation
107,250,108,450,inversed
107,250,110,0,inversed
130,250,87,0,inversed
98,250,117,450,inversed
98,250,119,0,inversed
83,250,59,450,same orientation
129,250,88,0,inversed
81,250,71,0,inversed
49,250,66,450,inversed
29,250,42,450,same orientation
29,250,42,0,same orientation
118,250,82,450,same orientation
102,250,113,450,inversed
102,250,115,0,inversed
35,250,47,450,same orientation
35,250,48,0,same orientation
133,250,132,0,same orientation
133,250,129,450,same orientation
133,250,128,450,same orientation
55,250,32,450,inversed
57,250,21,450,same orientation
57,250,21,0,same orientation
60,250,24,450,same orientation
60,250,24,0,same orientation
71,250,99,450,same orientation
46,250,59,0,same orientation
11,250,20,450,inversed
11,250,20,0,inversed
122,250,86,450,same orientation
44,250,71,450,inversed
73,250,79,0,inversed
24,250,37,450,same orientation
24,250,37,0,same orientation
115,250,79,450,same orientation
113,250,104,0,inversed
124,250,93,0,inversed
3,250,2,0,same orientation
38,250,50,450,same orientation
38,250,51,0,same orientation
3,250,2,450,inversed
3,250,2,0,inversed
90,250,127,0,inversed
92,250,122,450,same orientation
130,250,94,450,same orientation
56,250,31,450,inversed
56,250,35,450,inversed
56,250,35,0,inversed
36,250,48,450,same orientation
36,250,49,0,same orientation
63,250,27,450,same orientation
63,250,27,0,same orientation
54,250,32,0,same orientation
101,250,116,0,inversed
101,250,114,450,inversed
48,250,61,0,same orientation
80,250,56,450,same orientation
82,250,70,0,inversed
93,250,124,0,inversed
91,250,121,450,same orientation
59,250,23,450,same orientation
59,250,23,0,same orientation
127,250,90,0,inversed
110,250,107,0,inversed
45,250,58,0,same orientation
12,250,19,450,inversed
12,250,19,0,inversed
72,250,100,450,same orientation
72,250,80,0,same orientation
70,250,82,0,inversed
27,250,40,450,same orientation
27,250,40,0,same orientation
116,250,80,450,same orientation
121,250,85,450,same orientation
10,250,9,450,same orientation
10,250,9,0,same orientation
47,250,68,450,inversed
5,250,4,0,same orientation
69,250,83,0,inversed
109,250,108,0,inversed
109,250,106,450,inversed
5,250,0,450,inversed
96,250,119,450,inversed
96,250,121,0,inversed
94,250,124,450,same orientation
20,250,11,450,inversed
20,250,11,0,inversed
77,250,105,450,same orientation
40,250,52,450,same orientation
40,250,53,0,same orientation
17,250,14,450,inversed
17,250,14,0,inversed
124,250,88,450,same orientation
42,250,73,450,inversed
75,250,77,0,inversed
113,250,77,450,same orientation
22,250,35,450,same orientation
22,250,35,0,same orientation
115,250,102,0,inversed
122,250,95,0,inversed
133,250,132,0,inversed
133,250,129,450,inversed
133,250,128,450,inversed
104,250,111,450,inversed
104,250,113,0,inversed
33,250,45,450,same orientation
33,250,46,0,same orientation
53,250,34,450,inversed
51,250,64,0,same orientation
8,250,7,450,same orientation
8,250,7,0,same orientation
66,250,30,0,same orientation
66,250,29,450,same orientation
66,250,133,0,same orientation
85,250,61,450,same orientation
87,250,127,450,inversed
87,250,130,0,inversed
118,250,99,0,inversed
129,250,93,450,same orientation
78,250,74,0,inversed
48,250,67,450,inversed
119,250,83,450,same orientation
28,250,41,450,same orientation
28,250,41,0,same orientation
82,250,58,450,same orientation
128,250,89,0,inversed
80,250,72,0,inversed
34,250,47,0,same orientation
34,250,46,450,same orientation
54,250,33,450,inversed
132,250,128,450,same orientation
56,250,34,0,same orientation
61,250,25,0,same orientation
61,250,25,450,same orientation
134,250,130,450,inversed
103,250,112,450,inversed
103,250,114,0,inversed
112,250,105,0,inversed
125,250,92,0,inversed
70,250,98,450,same orientation
10,250,34,450,inversed
10,250,9,0,inversed
10,250,9,450,inversed
47,250,60,0,same orientation
45,250,70,450,inversed
123,250,87,450,same orientation
123,250,94,0,same orientation
114,250,78,450,same orientation
25,250,38,450,same orientation
25,250,38,0,same orientation
72,250,80,0,inversed
72,250,100,450,inversed
2,250,3,450,inversed
91,250,126,0,inversed
93,250,123,450,same orientation
2,250,1,0,same orientation
39,250,51,450,same orientation
39,250,52,0,same orientation
15,250,16,450,inversed
15,250,17,0,inversed
42,250,55,0,same orientation
75,250,103,450,same orientation
111,250,75,450,same orientation
77,250,75,0,inversed
126,250,90,450,same orientation
88,250,126,450,inversed
88,250,129,0,inversed
120,250,97,0,inversed
117,250,100,0,inversed
69,250,97,450,same orientation
7,250,6,450,same orientation
7,250,6,0,same orientation
94,250,123,0,inversed
85,250,67,0,inversed
18,250,13,450,inversed
18,250,13,0,inversed
78,250,54,450,same orientation
106,250,109,450,inversed
106,250,111,0,inversed
131,250,86,0,inversed
99,250,116,450,inversed
99,250,118,0,inversed
51,250,64,450,inversed
31,250,44,450,same orientation
31,250,44,0,same orientation
64,250,28,0,same orientation
64,250,28,450,same orientation
64,250,27,450,same orientation
53,250,31,0,same orientation
