x,y,x2,y2,color
104,200,105,0,inversed
133,200,140,0,inversed
133,200,165,400,inversed
species human, chromosome 17
39,200,39,100,inversed
species chimp, chromosome 17
39,200,12,100,inversed
species chimp, chromosome 17
39,200,82,100,inversed
species human, chromosome 17
39,200,40,100,inversed
95,200,108,400,same orientation
species human, chromosome 17
2,200,74,100,same orientation
species chimp, chromosome 17
2,200,77,100,same orientation
species chimp, chromosome 17
41,200,18,100,same orientation
76,200,40,400,same orientation
118,200,91,0,inversed
species human, chromosome 17
12,200,64,100,inversed
species chimp, chromosome 17
12,200,67,100,inversed
species chimp, chromosome 17
25,200,42,100,inversed
100,200,113,400,same orientation
species chimp, chromosome 17
47,200,20,100,inversed
89,200,102,400,same orientation
116,200,179,400,inversed
116,200,93,0,inversed
121,200,88,0,inversed
78,200,41,400,same orientation
143,200,167,0,inversed
143,200,155,400,inversed
81,200,128,0,inversed
81,200,92,400,inversed
species chimp, chromosome 17
49,200,22,100,inversed
87,200,100,400,same orientation
species human, chromosome 17
31,200,46,100,same orientation
species chimp, chromosome 17
53,200,30,100,same orientation
species human, chromosome 17
53,200,26,100,same orientation
64,200,28,400,same orientation
64,200,75,0,same orientation
species human, chromosome 17
62,200,17,100,inversed
species chimp, chromosome 17
55,200,28,100,inversed
species human, chromosome 17
55,200,24,100,inversed
112,200,125,400,same orientation
species chimp, chromosome 17
37,200,9,100,inversed
species chimp, chromosome 17
26,200,41,100,inversed
species human, chromosome 17
11,200,63,100,inversed
species chimp, chromosome 17
11,200,66,100,inversed
103,200,116,400,same orientation
species human, chromosome 17
44,200,32,100,inversed
75,200,86,0,same orientation
75,200,38,400,same orientation
species chimp, chromosome 17
42,200,17,100,same orientation
species chimp, chromosome 17
3,200,58,100,inversed
species human, chromosome 17
3,200,73,100,inversed
96,200,109,400,same orientation
species human, chromosome 17
1,200,75,100,same orientation
species chimp, chromosome 17
58,200,31,100,inversed
species chimp, chromosome 7
58,200,60,100,inversed
species chimp, chromosome 20
58,200,26,100,inversed
90,200,119,0,inversed
152,200,146,400,inversed
152,200,158,0,inversed
69,200,80,0,same orientation
69,200,32,400,same orientation
130,200,143,0,inversed
130,200,168,400,inversed
107,200,102,0,inversed
89,200,120,0,inversed
species human, chromosome 17
47,200,30,100,same orientation
species human, chromosome 17
47,200,31,100,same orientation
70,200,33,400,same orientation
70,200,81,0,same orientation
species human, chromosome 17
25,200,51,100,same orientation
129,200,144,0,inversed
129,200,169,400,inversed
106,200,119,400,same orientation
106,200,103,0,same orientation
species chimp, chromosome 17
14,200,69,100,inversed
species human, chromosome 17
14,200,66,100,inversed
