x,y,x2,y2,color
72,250,39,450,inversed
10,250,9,450,inversed
121,250,107,0,same orientation
45,250,57,450,same orientation
176,250,172,450,inversed
176,250,162,0,inversed
141,250,158,0,inversed
116,250,102,0,same orientation
27,250,74,450,same orientation
114,250,108,450,inversed
174,250,170,450,same orientation
123,250,100,450,inversed
59,250,51,450,inversed
8,250,11,450,inversed
91,250,127,450,same orientation
168,250,142,450,same orientation
108,250,114,450,inversed
91,250,82,0,inversed
119,250,104,450,inversed
80,250,31,450,inversed
179,250,93,450,same orientation
48,250,60,450,same orientation
165,250,139,450,same orientation
132,250,91,450,inversed
36,250,83,450,same orientation
36,250,72,0,same orientation
105,250,117,450,inversed
152,250,163,450,same orientation
1,250,1,450,same orientation
150,250,148,0,inversed
107,250,93,0,same orientation
130,250,116,0,same orientation
167,250,131,0,inversed
5,250,14,450,inversed
63,250,47,450,inversed
54,250,56,450,inversed
54,250,166,0,inversed
181,250,21,450,inversed
181,250,17,450,inversed
85,250,23,450,same orientation
18,250,66,450,same orientation
149,250,149,0,inversed
129,250,115,0,same orientation
99,250,85,0,same orientation
66,250,45,450,inversed
33,250,80,450,same orientation
33,250,69,0,same orientation
33,250,166,0,same orientation
100,250,122,450,inversed
157,250,168,450,same orientation
99,250,123,450,inversed
160,250,134,450,same orientation
137,250,149,450,inversed
135,250,121,0,same orientation
51,250,63,450,same orientation
162,250,136,0,inversed
155,250,143,0,inversed
102,250,88,0,same orientation
77,250,37,450,same orientation
144,250,155,0,inversed
113,250,99,0,same orientation
124,250,110,0,same orientation
124,250,165,0,same orientation
40,250,75,0,same orientation
40,250,76,0,same orientation
173,250,125,0,inversed
171,250,145,450,same orientation
126,250,97,450,inversed
22,250,69,450,same orientation
22,250,166,0,same orientation
111,250,111,450,inversed
146,250,157,450,same orientation
40,250,133,450,inversed
15,250,4,450,inversed
88,250,26,450,same orientation
138,250,124,0,same orientation
158,250,140,0,inversed
94,250,20,450,inversed
94,250,19,450,inversed
93,250,129,450,same orientation
168,250,130,0,inversed
108,250,94,0,same orientation
93,250,80,0,inversed
39,250,86,450,same orientation
39,250,75,0,same orientation
70,250,41,450,inversed
12,250,7,450,inversed
114,250,100,0,same orientation
143,250,156,0,inversed
47,250,59,450,same orientation
174,250,162,0,inversed
123,250,109,0,same orientation
121,250,102,450,inversed
141,250,152,450,same orientation
25,250,72,450,same orientation
116,250,107,450,inversed
116,250,102,0,inversed
150,250,161,450,same orientation
34,250,81,450,same orientation
34,250,70,0,same orientation
107,250,115,450,inversed
130,250,93,450,inversed
167,250,141,450,same orientation
165,250,133,0,inversed
132,250,118,0,same orientation
105,250,91,0,same orientation
152,250,146,0,inversed
7,250,12,450,inversed
56,250,54,450,inversed
61,250,49,450,inversed
82,250,29,450,inversed
28,250,75,450,same orientation
28,250,63,0,same orientation
119,250,105,0,same orientation
179,250,116,0,inversed
2,250,17,450,inversed
64,250,46,450,inversed
135,250,88,450,inversed
162,250,136,450,same orientation
155,250,166,450,same orientation
31,250,78,450,same orientation
31,250,66,0,same orientation
102,250,120,450,inversed
100,250,86,0,same orientation
157,250,141,0,inversed
53,250,65,450,same orientation
160,250,138,0,inversed
137,250,123,0,same orientation
87,250,25,450,same orientation
181,250,17,450,same orientation
181,250,21,450,same orientation
78,250,33,450,inversed
149,250,160,450,same orientation
129,250,94,450,inversed
138,250,148,450,inversed
96,250,82,0,inversed
158,250,169,450,same orientation
69,250,42,450,inversed
96,250,126,450,same orientation
42,250,78,0,same orientation
171,250,127,0,inversed
126,250,112,0,same orientation
111,250,97,0,same orientation
146,250,152,0,inversed
144,250,155,450,same orientation
20,250,68,450,same orientation
113,250,109,450,inversed
17,250,2,450,same orientation
124,250,99,450,inversed
173,250,147,450,same orientation
42,250,131,450,inversed
42,250,78,0,inversed
75,250,34,450,inversed
19,250,67,450,same orientation
148,250,150,0,inversed
128,250,114,0,same orientation
180,250,16,450,inversed
84,250,22,450,same orientation
98,250,124,450,inversed
156,250,167,450,same orientation
101,250,121,450,inversed
32,250,79,450,same orientation
32,250,67,0,same orientation
32,250,68,0,same orientation
136,250,87,450,inversed
161,250,135,450,same orientation
163,250,135,0,inversed
50,250,62,450,same orientation
134,250,120,0,same orientation
103,250,119,450,same orientation
103,250,89,0,same orientation
154,250,144,0,inversed
98,250,84,0,same orientation
67,250,44,450,inversed
41,250,132,450,inversed
14,250,5,450,inversed
89,250,27,450,same orientation
112,250,98,0,same orientation
112,250,165,0,same orientation
145,250,153,0,inversed
76,250,36,450,same orientation
172,250,126,0,inversed
41,250,77,0,same orientation
41,250,166,0,same orientation
125,250,111,0,same orientation
127,250,96,450,inversed
170,250,144,450,same orientation
147,250,158,450,same orientation
110,250,112,450,inversed
23,250,70,450,same orientation
139,250,150,450,same orientation
159,250,139,0,inversed
95,250,19,450,inversed
177,250,164,0,inversed
177,250,173,450,inversed
44,250,20,450,same orientation
120,250,106,0,same orientation
117,250,103,0,same orientation
140,250,158,0,inversed
142,250,153,450,same orientation
115,250,107,450,inversed
122,250,101,450,inversed
175,250,171,450,same orientation
73,250,38,450,inversed
26,250,73,450,inversed
11,250,8,450,inversed
169,250,143,450,same orientation
90,250,37,450,inversed
90,250,82,0,inversed
90,250,125,450,inversed
109,250,113,450,inversed
58,250,52,450,inversed
9,250,10,450,inversed
90,250,126,450,same orientation
90,250,17,450,same orientation
81,250,30,450,inversed
118,250,105,450,inversed
178,250,174,450,same orientation
178,250,164,0,same orientation
49,250,61,450,same orientation
4,250,15,450,inversed
62,250,48,450,inversed
55,250,55,450,inversed
133,250,90,450,inversed
164,250,138,450,same orientation
153,250,164,450,same orientation
104,250,118,450,inversed
37,250,84,450,same orientation
37,250,73,0,same orientation
106,250,92,0,same orientation
151,250,147,0,inversed
166,250,132,0,inversed
131,250,117,0,same orientation
163,250,137,450,same orientation
134,250,89,450,inversed
103,250,89,0,inversed
103,250,119,450,inversed
30,250,77,450,same orientation
30,250,65,0,same orientation
154,250,165,450,same orientation
156,250,142,0,inversed
65,250,45,450,same orientation
65,250,46,450,same orientation
101,250,87,0,same orientation
136,250,122,0,same orientation
161,250,137,0,inversed
52,250,64,450,same orientation
3,250,16,450,inversed
65,250,46,450,inversed
148,250,159,450,same orientation
128,250,95,450,inversed
86,250,24,450,same orientation
79,250,32,450,inversed
68,250,43,450,inversed
97,250,83,0,same orientation
139,250,159,0,inversed
159,250,170,450,same orientation
97,250,125,450,inversed
43,250,130,450,inversed
74,250,35,450,inversed
16,250,3,450,inversed
127,250,113,0,same orientation
170,250,128,0,inversed
43,250,79,0,same orientation
147,250,151,0,inversed
110,250,96,0,same orientation
112,250,110,450,inversed
21,250,69,450,same orientation
21,250,68,450,same orientation
145,250,156,450,same orientation
172,250,146,450,same orientation
125,250,98,450,inversed
169,250,129,0,inversed
109,250,95,0,same orientation
38,250,85,450,same orientation
38,250,74,0,same orientation
92,250,81,0,inversed
92,250,128,450,same orientation
142,250,157,0,inversed
115,250,101,0,same orientation
122,250,108,0,same orientation
175,250,161,0,inversed
46,250,58,450,same orientation
177,250,173,450,same orientation
177,250,163,0,same orientation
120,250,103,450,inversed
117,250,106,450,inversed
24,250,71,450,same orientation
140,250,151,450,same orientation
71,250,40,450,inversed
13,250,6,450,inversed
6,250,13,450,inversed
57,250,53,450,inversed
57,250,166,0,inversed
60,250,50,450,inversed
106,250,116,450,inversed
35,250,82,450,same orientation
35,250,71,0,same orientation
151,250,162,450,same orientation
166,250,140,450,same orientation
131,250,92,450,inversed
133,250,119,0,same orientation
164,250,134,0,inversed
153,250,145,0,inversed
104,250,90,0,same orientation
29,250,76,450,same orientation
29,250,64,0,same orientation
83,250,28,450,inversed
118,250,104,0,same orientation
