x,y,x2,y2,orientation
74,250,71,450,same orientation
21,250,21,450,same orientation
21,250,22,0,same orientation
190,250,103,0,same orientation
16,250,17,0,same orientation
16,250,16,450,same orientation
43,250,39,450,inversed
43,250,40,0,inversed
158,250,156,0,same orientation
74,250,73,0,inversed
74,250,71,450,inversed
206,250,63,450,same orientation
206,250,60,450,same orientation
206,250,61,0,same orientation
204,250,6,450,inversed
204,250,6,0,inversed
68,250,67,0,same orientation
97,250,79,450,inversed
113,250,115,450,inversed
68,250,66,450,inversed
144,250,137,450,same orientation
144,250,141,0,same orientation
124,250,105,450,inversed
126,250,123,0,same orientation
171,250,71,0,inversed
97,250,95,0,same orientation
111,250,108,0,same orientation
157,250,151,450,inversed
86,250,83,0,same orientation
100,250,98,0,same orientation
137,250,134,0,same orientation
137,250,130,450,same orientation
209,250,0,450,inversed
2,250,2,450,same orientation
2,250,2,0,same orientation
155,250,153,0,same orientation
86,250,90,450,inversed
79,250,74,450,same orientation
79,250,76,0,same orientation
215,250,62,0,inversed
217,250,72,0,same orientation
217,250,70,450,same orientation
65,250,69,450,inversed
149,250,142,450,same orientation
149,250,146,0,same orientation
129,250,100,450,inversed
30,250,30,450,same orientation
30,250,31,0,same orientation
65,250,64,0,same orientation
52,250,52,450,same orientation
52,250,53,0,same orientation
198,250,154,0,same orientation
198,250,152,450,same orientation
29,250,29,450,same orientation
29,250,30,0,same orientation
83,250,93,450,inversed
132,250,129,0,same orientation
132,250,68,0,same orientation
165,250,90,450,inversed
152,250,144,450,inversed
83,250,80,0,same orientation
105,250,101,0,same orientation
105,250,102,0,same orientation
107,250,121,450,inversed
150,250,143,450,same orientation
150,250,147,0,same orientation
167,250,86,0,same orientation
7,250,7,450,same orientation
7,250,8,0,same orientation
130,250,99,450,inversed
35,250,35,450,same orientation
35,250,36,0,same orientation
184,250,23,450,same orientation
184,250,24,0,same orientation
57,250,150,0,same orientation
60,250,58,0,same orientation
60,250,57,450,same orientation
119,250,116,0,same orientation
35,250,45,450,inversed
35,250,59,450,inversed
35,250,60,0,inversed
179,250,140,0,inversed
179,250,136,450,inversed
203,250,1,450,same orientation
203,250,1,0,same orientation
71,250,71,0,inversed
201,250,143,450,inversed
168,250,86,450,inversed
108,250,105,0,same orientation
71,250,63,450,same orientation
46,250,46,450,same orientation
46,250,47,0,same orientation
197,250,69,450,inversed
195,250,5,450,same orientation
195,250,5,0,same orientation
13,250,13,450,same orientation
13,250,14,0,same orientation
24,250,24,450,same orientation
24,250,25,0,same orientation
121,250,108,450,inversed
116,250,112,450,inversed
141,250,134,450,same orientation
141,250,138,0,same orientation
92,250,89,0,same orientation
114,250,111,0,same orientation
123,250,120,0,same orientation
174,250,45,450,inversed
174,250,39,450,inversed
174,250,40,0,inversed
174,250,126,0,inversed
38,250,38,450,same orientation
38,250,39,0,same orientation
92,250,84,450,inversed
189,250,113,0,same orientation
95,250,81,450,inversed
126,250,103,450,inversed
171,250,63,450,same orientation
146,250,139,450,same orientation
146,250,143,0,same orientation
111,250,117,450,inversed
113,250,110,0,same orientation
95,250,93,0,same orientation
95,250,92,0,same orientation
173,250,143,450,inversed
173,250,148,0,inversed
124,250,121,0,same orientation
76,250,125,450,same orientation
76,250,74,0,same orientation
190,250,122,450,inversed
14,250,15,0,same orientation
14,250,14,450,same orientation
192,250,55,450,same orientation
192,250,57,0,same orientation
89,250,87,450,inversed
23,250,23,450,same orientation
23,250,24,0,same orientation
76,250,100,0,inversed
41,250,41,450,inversed
41,250,42,0,inversed
138,250,131,450,same orientation
138,250,135,0,same orientation
89,250,86,0,same orientation
158,250,150,450,inversed
206,250,60,450,inversed
98,250,96,0,same orientation
215,250,61,450,same orientation
67,250,67,450,inversed
98,250,78,450,inversed
32,250,33,0,same orientation
32,250,32,450,same orientation
32,250,33,450,same orientation
183,250,20,450,same orientation
183,250,20,0,same orientation
181,250,132,450,inversed
181,250,136,0,inversed
50,250,50,450,same orientation
67,250,66,0,same orientation
135,250,128,450,same orientation
135,250,132,0,same orientation
84,250,81,0,same orientation
155,250,148,450,inversed
157,250,155,0,same orientation
100,250,93,450,inversed
19,250,19,450,same orientation
19,250,20,0,same orientation
84,250,92,450,inversed
186,250,31,450,same orientation
186,250,31,0,same orientation
186,250,158,0,same orientation
37,250,37,450,same orientation
37,250,38,0,same orientation
62,250,62,0,same orientation
55,250,55,450,same orientation
55,250,57,0,same orientation
62,250,61,450,inversed
119,250,110,450,inversed
210,250,0,0,same orientation
210,250,0,450,same orientation
198,250,152,450,inversed
198,250,154,0,inversed
49,250,50,0,same orientation
107,250,104,0,same orientation
107,250,46,0,same orientation
81,250,78,0,same orientation
81,250,76,450,same orientation
167,250,87,450,inversed
130,250,127,0,same orientation
132,250,97,450,inversed
49,250,48,450,inversed
165,250,83,0,same orientation
5,250,5,0,same orientation
152,250,150,0,same orientation
105,250,123,450,inversed
143,250,140,0,same orientation
143,250,136,450,same orientation
114,250,114,450,inversed
123,250,106,450,inversed
123,250,120,0,inversed
174,250,99,450,same orientation
58,250,5,450,inversed
58,250,5,0,inversed
58,250,56,450,inversed
176,250,147,0,inversed
176,250,142,450,inversed
121,250,118,0,same orientation
116,250,113,0,same orientation
90,250,87,0,same orientation
189,250,112,450,inversed
90,250,86,450,inversed
201,250,151,0,same orientation
168,250,87,0,same orientation
8,250,8,450,same orientation
8,250,9,0,same orientation
73,250,69,0,inversed
108,250,120,450,inversed
44,250,44,450,same orientation
44,250,45,0,same orientation
73,250,65,450,same orientation
26,250,26,450,same orientation
26,250,27,0,same orientation
11,250,12,0,same orientation
11,250,11,450,same orientation
197,250,65,0,same orientation
133,250,126,450,same orientation
133,250,130,0,same orientation
104,250,100,0,same orientation
104,250,101,0,same orientation
153,250,143,450,inversed
82,250,77,450,same orientation
82,250,79,0,same orientation
151,250,148,0,same orientation
106,250,122,450,inversed
131,250,98,450,inversed
166,250,85,0,same orientation
6,250,7,0,same orientation
6,250,6,450,same orientation
199,250,63,0,same orientation
28,250,28,450,same orientation
28,250,29,0,same orientation
34,250,33,0,inversed
34,250,32,450,inversed
118,250,115,0,same orientation
178,250,143,0,inversed
178,250,139,450,inversed
211,250,93,450,inversed
56,250,95,450,inversed
56,250,60,0,inversed
61,250,61,0,inversed
61,250,60,450,inversed
213,250,56,450,same orientation
213,250,60,0,same orientation
213,250,59,450,same orientation
0,250,0,0,same orientation
0,250,0,450,same orientation
0,250,1,450,same orientation
34,250,34,450,same orientation
34,250,35,0,same orientation
34,250,32,450,same orientation
34,250,33,0,same orientation
185,250,8,450,same orientation
185,250,8,0,same orientation
56,250,99,0,same orientation
56,250,58,0,same orientation
61,250,61,0,same orientation
61,250,60,450,same orientation
61,250,59,450,same orientation
70,250,61,450,same orientation
70,250,99,0,same orientation
47,250,48,0,same orientation
196,250,69,450,inversed
12,250,12,450,same orientation
12,250,13,0,same orientation
194,250,32,450,same orientation
194,250,33,0,same orientation
25,250,25,450,same orientation
25,250,26,0,same orientation
202,250,149,0,same orientation
70,250,64,0,inversed
70,250,64,450,inversed
70,250,95,450,inversed
70,250,100,0,inversed
70,250,70,450,inversed
47,250,47,450,inversed
200,250,70,450,inversed
200,250,72,0,inversed
169,250,85,450,inversed
109,250,106,0,same orientation
93,250,83,450,inversed
188,250,14,0,same orientation
188,250,13,450,same orientation
120,250,109,450,inversed
140,250,133,450,same orientation
140,250,137,0,same orientation
117,250,112,450,inversed
39,250,43,450,inversed
39,250,44,0,inversed
115,250,112,0,same orientation
93,250,90,0,same orientation
175,250,119,0,inversed
122,250,119,0,same orientation
42,250,41,0,inversed
42,250,40,450,inversed
159,250,157,0,same orientation
207,250,58,450,same orientation
207,250,59,0,same orientation
205,250,60,0,inversed
205,250,59,450,inversed
193,250,49,450,inversed
193,250,49,0,inversed
75,250,73,0,same orientation
75,250,71,450,same orientation
20,250,20,450,same orientation
20,250,21,0,same orientation
17,250,17,450,same orientation
17,250,18,0,same orientation
191,250,106,0,same orientation
145,250,142,0,same orientation
145,250,138,450,same orientation
69,250,73,450,inversed
69,250,76,0,inversed
112,250,116,450,inversed
125,250,104,450,inversed
172,250,44,450,same orientation
172,250,45,0,same orientation
170,250,84,450,inversed
127,250,124,0,same orientation
110,250,107,0,same orientation
96,250,94,0,same orientation
96,250,80,450,inversed
87,250,89,450,inversed
87,250,108,450,inversed
78,250,73,450,same orientation
78,250,75,0,same orientation
101,250,99,0,same orientation
156,250,152,450,inversed
87,250,84,0,same orientation
87,250,117,0,same orientation
136,250,129,450,same orientation
136,250,133,0,same orientation
208,250,156,0,inversed
163,250,73,450,same orientation
163,250,76,0,same orientation
3,250,3,450,same orientation
3,250,3,0,same orientation
31,250,32,0,same orientation
31,250,31,450,same orientation
64,250,63,0,same orientation
182,250,17,450,inversed
182,250,18,0,inversed
214,250,5,0,inversed
214,250,5,450,inversed
214,250,59,450,inversed
148,250,141,450,same orientation
148,250,145,0,same orientation
64,250,61,450,inversed
128,250,101,450,inversed
53,250,53,450,inversed
53,250,54,0,inversed
213,250,56,450,inversed
213,250,58,0,inversed
213,250,59,450,inversed
118,250,111,450,inversed
63,250,62,450,inversed
211,250,97,0,same orientation
187,250,12,450,same orientation
187,250,12,0,same orientation
36,250,36,450,same orientation
36,250,37,0,same orientation
63,250,62,0,same orientation
54,250,56,0,same orientation
54,250,54,450,same orientation
80,250,75,450,same orientation
80,250,77,0,same orientation
151,250,146,450,inversed
106,250,102,0,same orientation
106,250,103,0,same orientation
131,250,128,0,same orientation
166,250,88,450,inversed
164,250,76,450,same orientation
164,250,79,0,same orientation
4,250,4,450,same orientation
4,250,4,0,same orientation
48,250,49,450,inversed
48,250,49,0,inversed
104,250,124,450,inversed
153,250,151,0,same orientation
199,250,62,450,inversed
48,250,49,450,same orientation
48,250,49,0,same orientation
91,250,85,450,inversed
115,250,113,450,inversed
142,250,135,450,same orientation
142,250,139,0,same orientation
59,250,60,0,inversed
59,250,59,450,inversed
59,250,57,0,inversed
59,250,55,450,inversed
175,250,107,450,same orientation
122,250,107,450,inversed
120,250,117,0,same orientation
177,250,140,450,inversed
177,250,144,0,inversed
91,250,88,0,same orientation
117,250,114,0,same orientation
194,250,34,450,inversed
194,250,35,0,inversed
194,250,32,450,inversed
194,250,33,0,inversed
45,250,45,450,same orientation
45,250,46,0,same orientation
45,250,96,450,same orientation
72,250,64,450,same orientation
27,250,27,450,same orientation
27,250,28,0,same orientation
196,250,64,0,same orientation
10,250,10,450,same orientation
10,250,11,0,same orientation
169,250,88,0,same orientation
9,250,10,0,same orientation
9,250,10,450,same orientation
9,250,9,450,same orientation
45,250,56,450,inversed
45,250,35,450,inversed
45,250,36,0,inversed
45,250,57,0,inversed
45,250,98,0,inversed
109,250,119,450,inversed
72,250,70,0,inversed
202,250,145,450,inversed
170,250,89,0,same orientation
127,250,102,450,inversed
110,250,118,450,inversed
147,250,140,450,same orientation
147,250,144,0,same orientation
94,250,91,0,same orientation
112,250,109,0,same orientation
125,250,122,0,same orientation
94,250,82,450,inversed
40,250,43,0,inversed
40,250,42,450,inversed
139,250,132,450,same orientation
139,250,136,0,same orientation
88,250,85,0,same orientation
159,250,149,450,inversed
207,250,58,450,inversed
77,250,72,450,same orientation
77,250,74,0,same orientation
191,250,119,450,inversed
193,250,49,450,same orientation
193,250,49,0,same orientation
15,250,16,0,same orientation
15,250,15,450,same orientation
22,250,22,450,same orientation
22,250,23,0,same orientation
88,250,88,450,inversed
33,250,33,450,same orientation
33,250,34,0,same orientation
99,250,94,450,inversed
182,250,19,450,same orientation
182,250,19,0,same orientation
180,250,139,0,inversed
180,250,135,450,inversed
51,250,51,450,same orientation
51,250,52,0,same orientation
66,250,65,0,same orientation
216,250,0,450,inversed
216,250,0,0,inversed
99,250,97,0,same orientation
128,250,125,0,same orientation
214,250,5,450,same orientation
214,250,5,0,same orientation
66,250,68,450,inversed
18,250,18,450,same orientation
18,250,19,0,same orientation
85,250,91,450,inversed
5,250,6,0,inversed
5,250,5,450,inversed
134,250,127,450,same orientation
85,250,82,0,same orientation
101,250,96,450,inversed
101,250,95,450,inversed
156,250,154,0,same orientation
1,250,1,450,same orientation
1,250,1,0,same orientation
208,250,150,450,same orientation
