x,y,x2,y2,color
43,250,32,450,inversed
43,250,30,450,inversed
43,250,31,450,inversed
43,250,33,0,inversed
14,250,13,450,same orientation
14,250,14,0,same orientation
16,250,14,450,inversed
16,250,16,0,inversed
41,250,33,450,same orientation
76,250,73,450,same orientation
76,250,78,0,same orientation
76,250,74,450,same orientation
68,250,66,450,inversed
79,250,26,0,inversed
79,250,23,450,inversed
19,250,17,450,same orientation
19,250,20,0,same orientation
2,250,1,450,same orientation
2,250,1,0,inversed
2,250,1,450,inversed
67,250,69,0,same orientation
50,250,48,450,same orientation
50,250,52,0,same orientation
52,250,54,0,inversed
65,250,69,450,inversed
81,250,21,450,same orientation
81,250,20,450,same orientation
29,250,30,0,inversed
0,250,0,0,same orientation
0,250,2,450,same orientation
49,250,47,450,same orientation
49,250,51,0,same orientation
7,250,6,450,same orientation
7,250,6,0,same orientation
55,250,53,450,same orientation
55,250,57,0,same orientation
62,250,56,450,same orientation
35,250,38,450,inversed
35,250,42,0,inversed
37,250,34,450,same orientation
60,250,58,450,inversed
60,250,62,0,inversed
11,250,10,450,same orientation
11,250,10,0,same orientation
71,250,75,0,inversed
73,250,64,450,same orientation
24,250,24,450,inversed
24,250,27,0,inversed
44,250,42,450,same orientation
44,250,46,0,same orientation
58,250,55,450,same orientation
58,250,60,0,same orientation
58,250,14,450,same orientation
38,250,39,0,inversed
68,250,70,0,same orientation
41,250,36,0,inversed
21,250,73,450,same orientation
21,250,78,0,same orientation
23,250,25,450,inversed
23,250,28,0,inversed
74,250,71,450,same orientation
74,250,76,0,same orientation
43,250,33,450,same orientation
52,250,50,450,same orientation
52,250,54,0,same orientation
32,250,41,450,inversed
32,250,45,0,inversed
65,250,67,0,same orientation
67,250,67,450,inversed
30,250,28,450,same orientation
30,250,31,0,same orientation
37,250,40,0,inversed
57,250,54,450,same orientation
57,250,59,0,same orientation
62,250,60,0,inversed
81,250,23,0,inversed
5,250,4,450,same orientation
5,250,4,0,same orientation
29,250,27,450,same orientation
58,250,15,0,inversed
38,250,35,450,same orientation
8,250,7,450,same orientation
8,250,7,0,same orientation
73,250,73,0,inversed
46,250,44,450,same orientation
46,250,48,0,same orientation
26,250,22,450,inversed
26,250,25,0,inversed
71,250,62,450,same orientation
28,250,29,0,inversed
48,250,50,0,same orientation
48,250,46,450,same orientation
6,250,5,0,same orientation
6,250,5,450,same orientation
80,250,15,0,same orientation
80,250,15,450,same orientation
54,250,52,450,same orientation
54,250,56,0,same orientation
34,250,39,450,inversed
34,250,43,0,inversed
63,250,60,450,same orientation
63,250,65,0,same orientation
61,250,57,450,inversed
61,250,61,0,inversed
10,250,9,450,same orientation
10,250,10,0,same orientation
47,250,49,0,inversed
70,250,76,0,inversed
25,250,23,450,inversed
25,250,26,0,inversed
72,250,63,450,same orientation
45,250,43,450,same orientation
45,250,47,0,same orientation
59,250,59,450,same orientation
39,250,38,0,inversed
22,250,19,450,same orientation
15,250,15,0,same orientation
15,250,14,450,same orientation
42,250,32,0,inversed
42,250,33,0,inversed
40,250,32,450,same orientation
17,250,16,450,inversed
20,250,19,450,inversed
20,250,21,0,inversed
77,250,74,450,same orientation
77,250,79,0,same orientation
69,250,65,450,inversed
3,250,12,0,inversed
3,250,11,450,inversed
3,250,29,0,inversed
3,250,30,0,inversed
78,250,75,450,inversed
78,250,79,0,inversed
18,250,18,0,same orientation
3,250,15,0,same orientation
31,250,33,0,inversed
31,250,29,450,inversed
31,250,32,0,inversed
66,250,68,0,same orientation
51,250,49,450,same orientation
51,250,53,0,same orientation
64,250,70,450,inversed
36,250,37,450,inversed
36,250,41,0,inversed
56,250,54,450,same orientation
56,250,58,0,same orientation
0,250,2,450,inversed
0,250,0,0,inversed
4,250,3,450,same orientation
4,250,3,0,same orientation
28,250,26,450,same orientation
59,250,63,0,inversed
39,250,36,450,same orientation
9,250,8,450,same orientation
9,250,8,0,same orientation
25,250,26,0,same orientation
72,250,74,0,inversed
12,250,11,450,same orientation
12,250,11,0,same orientation
12,250,12,0,same orientation
47,250,45,450,same orientation
47,250,49,0,same orientation
70,250,61,450,same orientation
27,250,21,450,inversed
27,250,24,0,inversed
69,250,71,0,same orientation
40,250,37,0,inversed
17,250,17,0,same orientation
20,250,18,450,same orientation
20,250,21,0,same orientation
77,250,74,450,inversed
77,250,79,0,inversed
77,250,1,450,inversed
75,250,72,450,same orientation
75,250,77,0,same orientation
22,250,22,0,inversed
22,250,20,450,inversed
22,250,23,0,inversed
42,250,35,0,same orientation
53,250,51,450,same orientation
53,250,55,0,same orientation
64,250,66,0,same orientation
33,250,40,450,inversed
33,250,44,0,inversed
31,250,30,450,same orientation
31,250,33,0,same orientation
66,250,68,450,inversed
1,250,1,450,inversed
1,250,79,0,inversed
78,250,79,0,same orientation
18,250,15,450,inversed
18,250,16,450,inversed
1,250,0,0,same orientation
1,250,1,450,same orientation
