x,y,x2,y2,orientation
89,250,99,450,same orientation
23,250,36,0,inversed
23,250,33,450,inversed
76,250,73,0,inversed
76,250,57,0,inversed
76,250,72,0,inversed
76,250,57,450,inversed
76,250,66,450,inversed
76,250,56,0,inversed
41,250,17,0,inversed
41,250,15,450,inversed
1,250,0,0,same orientation
14,250,35,450,same orientation
89,250,109,0,inversed
166,250,73,0,same orientation
166,250,52,450,same orientation
151,250,3,0,same orientation
106,250,92,0,inversed
76,250,72,450,same orientation
76,250,76,0,same orientation
76,250,52,450,same orientation
76,250,67,450,same orientation
41,250,18,0,same orientation
41,250,16,450,same orientation
104,250,85,450,same orientation
153,250,28,450,inversed
153,250,31,0,inversed
164,250,145,0,inversed
133,250,133,0,same orientation
133,250,124,450,same orientation
95,250,95,450,inversed
95,250,103,0,inversed
118,250,118,0,same orientation
118,250,109,450,same orientation
154,250,27,450,same orientation
154,250,29,0,same orientation
103,250,95,0,inversed
11,250,85,0,same orientation
136,250,127,450,same orientation
136,250,136,0,same orientation
101,250,82,450,same orientation
156,250,13,450,inversed
156,250,15,0,inversed
73,250,70,450,same orientation
26,250,30,450,inversed
26,250,33,0,inversed
11,250,48,0,inversed
11,250,45,450,inversed
44,250,14,0,inversed
44,250,12,450,inversed
4,250,1,450,same orientation
4,250,3,0,same orientation
73,250,70,0,inversed
90,250,108,0,inversed
90,250,100,450,same orientation
180,250,151,0,same orientation
58,250,54,450,inversed
58,250,58,0,inversed
49,250,7,450,inversed
49,250,9,0,inversed
9,250,5,450,same orientation
9,250,7,0,same orientation
81,250,77,450,same orientation
81,250,81,0,same orientation
139,250,146,0,inversed
55,250,57,0,inversed
37,250,21,0,inversed
37,250,19,450,inversed
62,250,59,450,same orientation
62,250,63,0,same orientation
55,250,52,450,same orientation
147,250,150,0,inversed
147,250,140,450,inversed
170,250,106,450,inversed
127,250,118,450,same orientation
127,250,127,0,same orientation
112,250,86,0,inversed
140,250,145,0,inversed
117,250,117,0,same orientation
117,250,66,450,same orientation
120,250,120,0,same orientation
120,250,111,450,same orientation
177,250,149,0,inversed
177,250,139,450,inversed
65,250,61,450,same orientation
65,250,65,0,same orientation
52,250,52,0,same orientation
175,250,42,0,same orientation
115,250,106,450,inversed
142,250,134,450,same orientation
52,250,49,450,inversed
30,250,26,450,inversed
30,250,28,0,inversed
79,250,75,450,same orientation
79,250,79,0,same orientation
86,250,104,450,inversed
86,250,112,0,inversed
109,250,89,0,inversed
169,250,66,450,same orientation
97,250,94,450,same orientation
68,250,74,0,inversed
178,250,47,450,same orientation
178,250,50,0,same orientation
97,250,101,0,inversed
68,250,70,450,same orientation
21,250,38,0,inversed
16,250,43,0,inversed
3,250,2,0,same orientation
3,250,1,450,same orientation
43,250,15,0,inversed
43,250,13,450,inversed
74,250,69,0,inversed
74,250,65,450,inversed
74,250,64,450,inversed
21,250,42,450,same orientation
16,250,37,450,same orientation
104,250,94,0,inversed
164,250,132,450,same orientation
131,250,122,450,same orientation
131,250,131,0,same orientation
166,250,141,0,inversed
166,250,131,450,inversed
166,250,66,450,inversed
166,250,57,0,inversed
166,250,67,450,inversed
151,250,143,450,inversed
151,250,153,0,inversed
106,250,87,450,same orientation
92,250,106,0,inversed
38,250,18,450,same orientation
38,250,20,0,same orientation
128,250,119,450,same orientation
128,250,128,0,same orientation
148,250,139,450,inversed
148,250,149,0,inversed
180,250,141,450,inversed
92,250,102,450,same orientation
161,250,90,450,same orientation
101,250,97,0,inversed
154,250,29,0,inversed
154,250,27,450,inversed
2,250,0,450,inversed
2,250,2,0,inversed
103,250,84,450,same orientation
134,250,134,0,same orientation
134,250,125,450,same orientation
163,250,86,0,inversed
71,250,68,450,same orientation
46,250,10,450,same orientation
46,250,67,450,same orientation
46,250,51,450,same orientation
46,250,12,0,same orientation
46,250,52,450,same orientation
46,250,66,450,same orientation
13,250,46,0,inversed
13,250,43,450,inversed
24,250,32,450,inversed
24,250,35,0,inversed
71,250,72,0,inversed
71,250,57,0,inversed
6,250,4,450,same orientation
6,250,5,0,same orientation
46,250,10,450,inversed
46,250,12,0,inversed
46,250,66,450,inversed
46,250,57,0,inversed
46,250,73,0,inversed
46,250,51,450,inversed
57,250,55,0,inversed
35,250,23,0,inversed
35,250,21,450,inversed
57,250,54,450,same orientation
60,250,57,450,same orientation
60,250,61,0,same orientation
125,250,116,450,same orientation
125,250,125,0,same orientation
172,250,3,0,inversed
172,250,1,450,inversed
145,250,140,0,inversed
145,250,131,450,inversed
110,250,88,0,inversed
170,250,115,0,same orientation
29,250,27,450,inversed
29,250,29,0,inversed
83,250,79,450,same orientation
83,250,83,0,same orientation
159,250,96,450,inversed
159,250,105,0,inversed
139,250,136,450,same orientation
