x,y,x2,y2,orientation
126,250,230,450,same orientation
126,250,127,0,same orientation
111,250,112,0,same orientation
117,250,220,450,inversed
120,250,224,450,inversed
5,250,108,450,inversed
84,250,189,450,same orientation
84,250,84,0,same orientation
95,250,199,450,same orientation
95,250,95,0,same orientation
106,250,218,450,inversed
100,250,204,450,same orientation
100,250,100,0,same orientation
8,250,15,0,inversed
89,250,89,0,same orientation
89,250,194,450,same orientation
21,250,138,450,inversed
76,250,181,450,same orientation
76,250,76,0,same orientation
41,250,146,450,same orientation
41,250,41,0,same orientation
16,250,114,450,inversed
16,250,7,0,inversed
8,250,120,450,same orientation
23,250,23,0,same orientation
