x,y,x2,y2,color
25,250,25,0,same orientation
12,250,12,0,same orientation
187,250,187,0,same orientation
47,250,47,0,same orientation
70,250,70,0,same orientation
70,250,68,450,same orientation
25,250,52,450,inversed
12,250,64,450,inversed
118,250,98,450,inversed
178,250,178,0,same orientation
47,250,30,450,inversed
96,250,90,450,same orientation
5,250,5,0,same orientation
101,250,92,0,inversed
101,250,90,450,inversed
156,250,156,0,same orientation
161,250,161,0,same orientation
136,250,185,450,inversed
134,250,133,0,same orientation
163,250,158,450,inversed
154,250,167,450,inversed
103,250,102,0,same orientation
96,250,97,0,inversed
1,250,9,450,inversed
1,250,1,0,inversed
69,250,69,0,same orientation
69,250,67,450,same orientation
17,250,60,450,inversed
20,250,57,450,inversed
148,250,173,450,inversed
128,250,124,450,same orientation
128,250,127,0,same orientation
42,250,35,450,inversed
17,250,17,0,same orientation
20,250,20,0,same orientation
180,250,141,450,inversed
75,250,73,450,same orientation
75,250,75,0,same orientation
42,250,42,0,same orientation
182,250,182,0,same orientation
193,250,193,0,same orientation
53,250,53,0,same orientation
64,250,64,0,same orientation
191,250,130,450,inversed
31,250,31,0,same orientation
53,250,24,450,inversed
64,250,13,450,inversed
139,250,138,0,same orientation
159,250,162,450,inversed
31,250,46,450,inversed
8,250,2,450,same orientation
8,250,8,0,same orientation
145,250,176,450,inversed
112,250,111,0,same orientation
125,250,124,0,same orientation
172,250,149,450,inversed
78,250,83,450,inversed
78,250,85,0,inversed
170,250,170,0,same orientation
127,250,118,450,inversed
110,250,106,450,inversed
110,250,109,0,inversed
147,250,146,0,same orientation
87,250,85,450,same orientation
87,250,87,0,same orientation
48,250,29,450,inversed
115,250,114,0,same orientation
142,250,179,450,inversed
175,250,146,450,inversed
175,250,175,0,inversed
175,250,58,0,inversed
122,250,121,0,same orientation
120,250,96,450,inversed
177,250,177,0,same orientation
140,250,139,0,same orientation
117,250,99,450,inversed
188,250,188,0,same orientation
48,250,48,0,same orientation
80,250,81,450,inversed
80,250,83,0,inversed
169,250,152,450,inversed
109,250,108,0,same orientation
54,250,23,450,inversed
200,250,75,450,inversed
200,250,77,0,inversed
63,250,14,450,inversed
36,250,41,450,inversed
54,250,54,0,same orientation
63,250,63,0,same orientation
194,250,194,0,same orientation
36,250,36,0,same orientation
196,250,192,450,inversed
187,250,134,450,inversed
10,250,10,0,same orientation
27,250,27,0,same orientation
185,250,185,0,same orientation
72,250,70,450,same orientation
72,250,72,0,same orientation
45,250,45,0,same orientation
10,250,0,450,inversed
27,250,50,450,inversed
45,250,32,450,inversed
118,250,117,0,same orientation
178,250,143,450,inversed
6,250,4,450,inversed
59,250,59,0,same orientation
199,250,194,450,same orientation
199,250,199,0,same orientation
151,250,150,0,same orientation
2,250,2,0,same orientation
106,250,110,450,inversed
131,250,190,450,inversed
131,250,130,0,inversed
166,250,166,0,same orientation
91,250,89,450,same orientation
91,250,91,0,same orientation
164,250,157,450,inversed
133,250,132,0,same orientation
104,250,103,0,same orientation
153,250,168,450,inversed
153,250,153,0,inversed
59,250,18,450,inversed
148,250,147,0,same orientation
88,250,86,450,same orientation
88,250,88,0,same orientation
22,250,55,450,inversed
15,250,61,450,inversed
40,250,37,450,inversed
77,250,125,0,inversed
22,250,22,0,same orientation
15,250,15,0,same orientation
182,250,139,450,inversed
40,250,40,0,same orientation
77,250,75,450,same orientation
77,250,77,0,same orientation
180,250,180,0,same orientation
94,250,115,450,same orientation
134,250,187,450,inversed
163,250,163,0,same orientation
154,250,154,0,same orientation
154,250,153,0,same orientation
103,250,113,450,inversed
7,250,7,0,same orientation
101,250,95,450,same orientation
156,250,165,450,inversed
161,250,160,450,inversed
136,250,135,0,same orientation
3,250,7,450,inversed
94,250,99,0,inversed
85,250,78,0,inversed
85,250,76,450,inversed
18,250,18,0,same orientation
170,250,151,450,inversed
127,250,126,0,same orientation
110,250,109,0,same orientation
110,250,106,450,same orientation
147,250,174,450,inversed
145,250,144,0,same orientation
112,250,104,450,inversed
125,250,120,450,inversed
172,250,172,0,same orientation
18,250,59,450,inversed
191,250,191,0,same orientation
66,250,66,0,same orientation
51,250,51,0,same orientation
193,250,129,450,inversed
33,250,33,0,same orientation
99,250,94,0,inversed
66,250,11,450,inversed
51,250,26,450,inversed
99,250,93,450,same orientation
33,250,44,450,inversed
139,250,182,450,inversed
159,250,159,0,same orientation
