79,250,80,450,same orientation
205,250,199,450,same orientation
205,250,209,0,same orientation
139,250,151,450,same orientation
86,250,100,450,same orientation
193,250,197,0,same orientation
219,250,223,0,same orientation
52,250,54,450,same orientation
65,250,67,450,same orientation
170,250,137,450,same orientation
147,250,159,450,same orientation
30,250,36,450,same orientation
112,250,126,0,same orientation
112,250,125,0,same orientation
112,250,119,450,same orientation
112,250,127,0,same orientation
112,250,118,450,same orientation
125,250,121,450,same orientation
125,250,128,0,same orientation
134,250,137,0,same orientation
103,250,95,450,same orientation
16,250,17,0,same orientation
16,250,15,450,same orientation
21,250,20,450,same orientation
21,250,22,0,same orientation
156,250,168,450,same orientation
0,250,0,0,same orientation
0,250,0,450,same orientation
161,250,172,450,same orientation
74,250,75,450,same orientation
43,250,48,450,same orientation
208,250,202,450,same orientation
208,250,212,0,same orientation
1,250,1,450,same orientation
1,250,1,0,same orientation
97,250,90,450,same orientation
128,250,124,450,same orientation
128,250,131,0,same orientation
214,250,208,450,same orientation
214,250,218,0,same orientation
68,250,70,450,same orientation
223,250,227,0,same orientation
24,250,23,450,same orientation
24,250,25,0,same orientation
13,250,12,450,same orientation
13,250,14,0,same orientation
131,250,134,0,same orientation
4,250,4,450,same orientation
4,250,4,0,same orientation
46,250,30,450,same orientation
71,250,72,450,same orientation
164,250,175,450,same orientation
153,250,165,450,same orientation
178,250,182,0,same orientation
226,250,135,0,same orientation
211,250,205,450,same orientation
211,250,215,0,same orientation
92,250,85,450,same orientation
187,250,191,0,same orientation
196,250,200,0,same orientation
83,250,44,450,same orientation
200,250,204,0,same orientation
9,250,8,450,same orientation
9,250,9,0,same orientation
169,250,136,450,same orientation
29,250,35,450,same orientation
142,250,154,450,same orientation
175,250,179,0,same orientation
175,250,229,0,same orientation
60,250,62,450,same orientation
57,250,59,450,same orientation
117,250,116,450,same orientation
117,250,120,0,same orientation
